timestamp_ns,symbol,best_bid,best_ask,spread,bid_volume,ask_volume,bid_levels,ask_levels,total_orders
16751031422449,GOOGL,14338000,14408200,70200,50,33,10,5,16
16751031422449,MSFT,1739400,1740000,600,100,30,38,33,103
16751031422449,TSLA,6420000,6424000,4000,63,192,166,76,449
16761157290241,AAPL,3213500,3215000,1500,100,170,43,35,105
16761157290241,AMZN,18511300,18579900,68600,5,20,26,15,49
16761157290241,GOOGL,14338000,14408200,70200,50,33,10,5,16
16761157290241,MSFT,1739300,1740000,700,200,30,37,33,103
16761157290241,TSLA,6420000,6424000,4000,23,192,166,76,449
16770014552400,AAPL,3213500,3215000,1500,100,170,44,35,105
16770014552400,AMZN,18511300,18579900,68600,5,20,26,15,49
16770014552400,GOOGL,14338000,14408200,70200,50,33,10,5,16
16770014552400,MSFT,1739300,1740000,700,200,30,37,35,104
16770014552400,TSLA,6423900,6424000,100,25,215,166,76,449
16781273325747,AAPL,3213500,3215000,1500,100,138,44,35,105
16781273325747,AMZN,18511300,18579900,68600,5,20,26,15,49
16781273325747,GOOGL,14338000,14408200,70200,50,33,10,5,16
16781273325747,MSFT,1739300,1739600,300,200,50,37,35,105
16781273325747,TSLA,6418800,6420000,1200,1,23,166,77,450
16790873757717,AAPL,3213500,3215000,1500,100,138,43,35,105
16790873757717,AMZN,18511300,18579900,68600,5,20,26,15,49
16790873757717,GOOGL,14338000,14408200,70200,50,33,10,5,16
16790873757717,MSFT,1739300,1739600,300,200,50,37,32,102
16790873757717,TSLA,6416500,6418400,1900,2,324,165,77,449
16800112761134,AAPL,3213500,3216000,2500,100,175,43,35,105
16800112761134,AMZN,18511300,18579900,68600,5,20,26,15,49
16800112761134,GOOGL,14338000,14408200,70200,50,33,10,5,16
