elapsed_sec,cumulative,interval_rate
0.070656,946156,17645115.53
0.070696,946646,12237456.61
0.070891,948221,8097686.38
0.070942,949056,16239765.06
0.071005,950191,18051689.86
0.071079,951765,21378607.81
0.071290,953801,9628389.56
0.071585,957267,11737534.37
0.071716,959582,17750753.35
0.071795,961195,20396292.50
0.072028,963111,8221693.94
0.072463,969894,15603577.57
0.072892,973892,9306699.75
0.073152,976936,11722706.39
0.073247,978892,20508519.00
0.073555,982783,12653658.54
0.073788,985243,10546623.79
0.073855,986267,15255121.04
0.074097,989012,11354705.27
0.074187,990795,19692518.39
0.074261,992265,20045545.66
0.074481,994374,9568227.50
0.074531,995227,17131610.13
0.074608,996626,18188436.89
0.074787,997889,7046025.10
0.074846,998991,18651727.23
0.074901,1000000,18527699.74
0.074919,1000137,7646796.16
0.075166,1002434,9291732.91
0.075264,1004561,21621346.89
0.075329,1005860,19984615.38
0.075639,1010418,14693367.03
0.075902,1013404,11364414.84
0.076124,1015813,10865643.10
0.076257,1018889,23127819.55
0.076474,1021188,10602580.78
0.076547,1022335,15596741.95
0.076637,1023537,13386493.23
0.076860,1025213,7526934.84
0.076970,1027628,21921463.97
0.077160,1028914,6766925.21
0.077239,1030588,21156398.10
0.077299,1031840,20794578.79
0.077483,1033031,6490463.22
0.077528,1033665,14141053.66
0.077581,1034710,19396751.74
0.077699,1036633,16400852.88
0.077858,1037435,5028213.17
0.077921,1038786,21645091.00
0.077956,1039438,18496453.90
0.078014,1040562,19449058.69
0.078064,1041640,21311507.82
0.078228,1042717,6580434.66
0.078299,1044317,22416812.61
0.078343,1045222,20490411.39
0.078380,1045920,19101830.82
0.078539,1046713,4975686.27
0.078649,1049135,22144000.00
0.078867,1051386,10302059.50
0.078939,1052998,22427826.09
0.079156,1055465,11368663.59
0.079203,1056389,19572539.13
0.079306,1058910,24595121.95
0.079482,1060107,6778681.98
0.079554,1061772,23382204.25
0.079620,1063036,19019244.95
0.079671,1064130,21468660.47
0.079855,1065681,8442746.10
0.079898,1066616,21618497.11
0.079986,1068176,17794609.15
0.080196,1070073,9017231.13
0.080264,1071283,17805114.92
0.080323,1072283,16949152.54
0.080357,1072807,15430371.92
0.080504,1073199,2671209.54
0.080559,1074344,20770975.06
0.080614,1075557,22054545.45
0.080842,1078260,11861766.32
0.080912,1079809,21893992.93
0.080964,1080919,21466697.61
0.081012,1081815,18780917.25
0.081192,1083079,7014078.10
0.081223,1083553,15394108.67
0.081270,1084187,13573401.27
0.081314,1084874,15323534.00
0.081506,1086096,6385369.04
0.081724,1087752,7584744.40
0.081801,1089263,19528271.41
0.081846,1089995,16636363.64
0.081888,1090713,16960362.83
0.082055,1091644,5573481.96
0.082108,1092651,19029801.39
0.082164,1093517,15316048.25
0.082204,1094234,17887882.64
0.082258,1095156,17328221.32
0.082448,1096377,6420672.36
0.082531,1097936,18726726.73
0.082571,1098572,16118404.38
0.082636,1099711,17422562.14
0.082804,1100447,4371195.25
0.082874,1101919,21053534.91
0.082929,1102847,16924115.04
0.083148,1104673,8342661.34
0.083243,1106632,20548807.35
0.083342,1108816,22163363.47
0.083597,1111349,9921971.70
0.083685,1112923,17860992.91
0.083931,1115506,10487551.36
0.084004,1116899,19082191.78
0.084333,1119312,7347388.68
0.084452,1121045,14512171.63
0.084712,1123835,10749705.25
0.085149,1127645,8718535.47
0.085300,1129828,14449011.47
0.085661,1134985,14290266.71
0.085879,1137468,11398640.24
0.085956,1139131,21504124.96
0.086204,1142066,11856621.73
0.086273,1143363,18763110.31
0.086519,1146181,11437848.81
0.086580,1147515,21928526.81
0.086793,1149572,9659181.62
0.086939,1153128,24335329.34
0.087241,1156073,9757051.08
0.087296,1157186,20205504.32
0.087500,1158938,8562003.67
0.087584,1160440,18051148.93
0.087668,1161854,16717307.26
0.087902,1163900,8770124.99
0.088028,1166296,18990702.80
0.088232,1167927,7970678.07
0.088303,1169313,19475592.28
0.088359,1170371,18892857.14
0.088399,1170960,14771159.87
0.088606,1172762,8717569.14
0.088709,1174847,20234663.87
0.088910,1176471,8076226.85
0.088990,1178058,19899686.52
0.089254,1180784,10342093.38
0.089292,1181436,17064489.11
0.089338,1182106,14421317.72
0.089422,1183762,19694825.35
0.089484,1184857,17853357.90
0.089719,1187240,10133224.47
0.089833,1189621,20787134.85
0.090043,1190894,6083632.02
0.090158,1192840,16866738.89
0.090374,1194341,6961159.42
0.090422,1195219,18149870.80
0.090466,1196039,18426966.29
0.090536,1197314,18268831.22
0.090607,1198471,16324514.99
0.090771,1199136,4046636.73
0.090829,1199928,13684665.23
0.090894,1200782,13257575.76
0.090989,1202395,16993794.58
0.091038,1203190,16087581.20
0.091222,1204011,4466009.91
0.091263,1204621,14878048.78
0.091315,1205636,19519230.77
0.091373,1206815,20430442.92
0.091550,1208238,8041410.72
0.091617,1209486,18443531.46
0.091703,1211269,20762736.54
0.091886,1212658,7588422.33
0.091967,1213600,11695761.22
0.092013,1214516,19681571.09
0.092099,1216393,21835991.58
0.092268,1217195,4764365.87
0.092356,1219025,20609964.86
0.092427,1220505,20955752.21
0.092589,1221340,5153016.83
0.092617,1221806,16919613.68
0.092667,1222805,19880597.01
0.092735,1223951,16740191.07
0.092950,1225990,9509507.18
0.093008,1227084,18607973.87
0.093072,1228419,20927717.08
0.093111,1229142,18518518.52
0.093313,1230263,5560984.81
0.093358,1230932,14663013.70
0.093474,1233169,19409978.31
0.093513,1233838,16865404.49
0.093721,1236107,10915213.47
0.093775,1237309,22362790.70
0.093822,1238284,20726159.60
0.094005,1239824,8403819.92
0.094069,1241214,21803921.57
0.094129,1242394,19666666.67
0.094162,1242951,17160638.36
0.094325,1243755,4911183.33
0.094380,1244880,20516467.88
0.094433,1245799,17353374.37
0.094470,1246350,14775286.92
0.094695,1248815,10984065.31
0.094779,1250721,22611873.01
0.094977,1252623,9602035.51
0.095068,1254830,24308309.10
0.095112,1255784,21518958.79
0.095299,1256990,6452061.61
0.095354,1257920,16986301.37
0.095396,1258723,19099947.67
0.095455,1259872,19529855.69
0.095651,1261605,8826840.11
0.095691,1262209,15006211.18
0.095726,1262665,13122302.16
0.095772,1263583,20138645.14
0.095830,1264816,21304535.64
0.096014,1266272,7889845.62
0.096056,1266942,15826522.42
0.096134,1268547,20788001.24
0.096182,1269448,18545581.79
0.096227,1270259,18088950.35
0.096395,1271187,5525190.82
0.096445,1272081,17732114.17
0.096484,1272759,17459377.33
0.096527,1273519,17935103.24
0.096705,1274840,7386779.84
0.096756,1275815,19195936.37
0.096833,1277449,21278258.15
0.096868,1278032,16500155.66
0.097063,1279697,8543938.42
0.097107,1280386,15900122.31
0.097155,1281249,17687325.79
0.097205,1282200,19131729.30
0.097263,1283124,16011367.38
0.097421,1283735,3850856.52
0.097483,1284931,19526530.61
0.097527,1285663,16480176.51
0.097569,1286311,15614457.83
0.097622,1287366,19936882.29
0.097654,1287842,14740949.49
0.097840,1289131,6916163.65
0.097881,1289784,15926829.27
0.097950,1291250,21297614.55
0.097999,1292119,17886915.18
0.098168,1293013,5273029.69
0.098216,1293892,18424582.88
0.098246,1294336,14657335.27
0.098331,1296274,22856199.36
0.098512,1297402,6236351.07
0.098619,1300018,24496216.95
0.098679,1301356,22207468.88
0.098836,1302088,4667385.05
0.098886,1302890,15854815.75
0.098939,1304053,22135094.50
0.098979,1304769,18012578.62
0.099021,1305584,19270784.07
0.099222,1307461,9326708.07
0.099277,1308481,18758620.69
0.099503,1311136,11704646.15
0.099597,1313161,21706041.25
0.099660,1314455,20404623.37
0.099877,1316746,10577930.86
0.100195,1321199,14010502.37
0.100269,1322512,17555353.51
0.100340,1323958,20450302.65
0.100529,1325250,6819417.39
0.100619,1326755,16807942.73
0.100698,1328400,20778859.88
0.100975,1329186,2834557.07
0.101026,1330174,19727252.76
0.101105,1331702,19169970.39
0.101321,1332938,5736590.26
0.101361,1333543,15046756.86
0.101412,1334498,18664373.52
0.101469,1335607,19628318.58
0.101713,1337559,7989096.85
0.101765,1338398,15993747.38
0.101825,1339467,17966386.55
0.101905,1340461,12399116.84
0.101974,1341775,19066413.22
0.102172,1343197,7190897.60
0.102235,1344520,21055814.62
0.102291,1345781,22139120.05
0.102459,1346835,6281586.73
0.102672,1347776,4414379.34
